database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	AX1_GB5_01_10470	BD1_GA3_01_10459	BL2_GA5_01_10461	BR1_GB6_01_10471	Fusty_GC3_01_10476	KA1_GB1_01_10465	LP1_GB3_01_10467	NB1_GB8_01_10473	PA1_GA4_01_10460	PK1_GB7_01_10472	Rancid_GC2_01_10475	RB2_GB4_01_10469	RB4_GB2_01_10466	TP1_GA8_01_10464	EX1_GA2_01_10458	BL1_GA6_01_10462	YH1_GA7_01_10463	Musty_GC4_01_10477	RB1_GC1_01_10474
unknown				unknown	44.9983				14.34	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										117050.0823	43490.884	81393.24667	172182.2352	98692.878	192260.574	28404.468	238624.8737	48159.908	136588.176	243762.6624	49444.725	59203.872	154278.2448	179033.28	86692.663	35644.114	278674.9074	128688.78
unknown				unknown	59.0152				14.34	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										3834004.934	1036566.86	841050.672	4933843.534	2734008.344	5725167.88	686874.966	6611546.176	1046520.342	5589757.862	8644556.912	1116065.61	1330761.84	4563489.526	4569722.064	768016.822	727365.024	8421354.222	5052864.146
unknown				unknown	60.0186				14.34	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										46297.645	18750.432	20483.144	95267.4264	46870.986	89290.5	13960.54133	142906.4432	21923.72	113182.2877	183153.2288	24475.44	30059.76	68676.5264	84637.2	16044.384	18521.62133	155786.0937	63841.68
unknown				unknown	68.9975				1.37	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										37497.12267	109676.216	26628.732	36366.874	22569.184	50856.18133	4338.545778	21610.305	31097.4144	42520.235	34433.796	30085.84	99782.54	26811.072	71994.95733	35883.404	19051.72	19427.67467	25452.2024
unknown				unknown	69.0367				1.45	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										30016.14	106727.544	23886.322	84734.01138	22674.7248	70668.8752	5785.98	35010.71778	24833.475	68513.64	35224.45333	45372.86	110796.259	39957.48	157222.3077	35581.664	21969.58867	21472.8864	28672.812
unknown				unknown	69.0366				5.6	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										115372.7509	18097.884	18555.264	19646.66356	17778.04691	18493.43111	16486.73262	18926.7796	108245.8938	19644.48889	19055.01422	64881.29486	147084.3129	37235.4224	114216.2526	31740.62444	24419.49422	15033.22585	18802.33667
unknown				unknown	73.0315				5.73	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										155893.7257	89656.586	124531.9451	48759.83133	5375.458667	6501.5552	5228.947429	6305.645091	619984.4183	76769.66833	8287.3728	98542.098	31741.21	14284.49231	246753.4813	294033.474	137370.634	4252.213333	15622.792
unknown				unknown	87.0118				1.05	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										12574.98	17066	19504.704	16585.9804	17667.99091	1090.792	710.528	393.21	18897.995	12721.632	11794.8888	1502.221143	661.862	856.12	14357.4016	16346.7304	17499.1144	14925.30473	17187.576
unknown				unknown	89.0281				14.32	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										1044824.214	315466.385	868799.6474	668810.8112	497031.3304	600086.8618	313978.99	425921.685	586557.744	1097062.862	376375.9104	431476.3	468655.152	551652.8416	765944.91	395685.9144	847927.3253	775698.432	1067736.868
unknown				unknown	89.028				3.58	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										329681.1267	411699.8695	346575.466	276719.67	409396.7138	136208.2274	354158.2577	105216.384	579604.4594	344109.92	139375.5257	255470.208	275533.7947	204018.46	349960.392	364708.0914	320556.7714	228496.36	324005.6229
unknown				unknown	89.0277				14.79	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										418347.3792	1006075.84	533217.9909	392760.6592	321126.595	620757.9504	258199.272	393631.7513	472407.1406	444123.974	384242.55	512868.4995	377077.36	481723.868	428475.84	384893.0568	988868.0788	367824.4416	356524.416
unknown				unknown	91.0256				10.77	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										17615.18	44429.31692	23786.0496	24002.055	25370.032	27825.336	21890.888	24438.62867	30779.628	41183.012	56106.94892	17612.72	26310.08769	18654.432	32465.44	20545.43333	28672.448	20873.51	33824.812
unknown				unknown	91.0255				14.1	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										59872.7124	62179.3872	143277.654	78671.408	95624.3232	21674.352	13155.5424	19409.328	80715.77867	125546.656	48599.2632	12370.8312	41667.114	23158.81867	87951.1296	38462.878	110488.5326	58611.2	89775.48
unknown				unknown	91.0253				14.49	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										33742.8048	56007.01956	85294.61867	45173.33333	53900.19543	26749.52	14627.2432	23981.1968	37874.72	63244.6976	29762.7008	13490.77333	24865.696	17764.9	45706.318	28597.204	41871.12356	41061.405	41098.4568
unknown				unknown	91.0254				15.34	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										24142.159	21576.177	48047.505	32932.6704	37625.456	34719.454	19172.456	24298.12667	23561.976	40177.412	28992.315	15764.287	42405.44	23877.154	34361.532	21526.202	26633.706	26091.636	31232.685
unknown				unknown	91.0256				13.58	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										23440.21867	33695.76978	46812.87564	38287.876	51074.6808	16106.98756	11023.10667	14839.85067	34210.00889	64063.52873	43921.1744	10731.996	18281.44267	15408.82356	38151.2655	22296.13636	22726.18933	36894.856	38726.604
unknown				unknown	95.054				3.97	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4144	Oleaceae										653350.9667	5222.468571	6930.014	153803.328	4447.864571	56817.83733	175.6902857	105777.1086	72422.9936	93212.02457	32773.9008	92554.995	248392.3176	55919.3888	279950.3135	48739.7344	13380.95333	16777.068	14420.994
